,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
2767108,2010000386234,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - PEDESTRIAN VIOLATION,11/04/2010 09:42:35 PM,11/04/2010 09:42:35 PM,EAST,CHARLIE,C3
1927103,2021000244184,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SHOPLIFT - THEFT,--THEFT - SHOPLIFT,09/16/2021 08:25:49 PM,09/16/2021 08:47:56 PM,EAST,EDWARD,E1
4114835,2013000290114,REPORT WRITTEN (NO ARREST),911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - BICYCLE,08/12/2013 03:11:15 PM,08/12/2013 03:24:41 PM,WEST,KING,K1
4498082,2011000237453,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--HAZARDS - HAZARDS,07/22/2011 10:29:37 AM,07/22/2011 10:35:05 AM,SOUTHWEST,WILLIAM,W2
4163713,2015000291109,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,08/20/2015 10:38:24 PM,08/20/2015 10:38:24 PM,SOUTHWEST,WILLIAM,W1
312460,2012000369557,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,10/28/2012 05:47:42 AM,10/28/2012 05:49:16 AM,NORTH,UNION,U2
2844961,2018000419124,ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,--ASSIST OTHER AGENCY - CITY AGENCY,11/08/2018 12:26:51 PM,11/08/2018 12:30:44 PM,WEST,MARY,M1
1926330,2020000199563,RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,06/28/2020 01:34:31 PM,01/01/1900 12:00:00 AM,SOUTH,OCEAN,O2
1191317,2014000125151,REPORT WRITTEN (NO ARREST),911,1,"DOA - CASUALTY, DEAD BODY","--CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",04/24/2014 08:39:43 AM,04/24/2014 08:50:39 AM,SOUTH,SAM,S2
2033284,2021000267933,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/09/2021 11:57:06 PM,10/09/2021 11:57:06 PM,EAST,EDWARD,E2
4951703,2018000088317,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",--TRAFFIC - MV COLLISION INVESTIGATION,03/11/2018 09:01:59 PM,03/11/2018 09:34:57 PM,NORTH,BOY,B2
1212439,2017000401957,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - BLOCKING TRAFFIC,10/29/2017 04:55:44 PM,10/29/2017 05:10:31 PM,WEST,QUEEN,Q3
2077084,2020000160538,ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,05/15/2020 04:33:34 PM,05/15/2020 04:33:34 PM,EAST,EDWARD,E2
4533142,2018000052445,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/11/2018 05:39:28 PM,02/11/2018 06:12:53 PM,WEST,MARY,M1
2313145,2015000248793,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--INTOX & LIQ VIOLS - INTOXICATED PERSON,07/20/2015 12:14:54 PM,07/20/2015 12:14:54 PM,WEST,KING,K3
1094290,2012000442061,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,MISSING - ADULT,"MISSING - (ALZHEIMER, ENDANGERED, ELDERLY)",12/28/2012 01:15:49 PM,12/28/2012 01:59:54 PM,SOUTHWEST,WILLIAM,W1
3831877,2012000005489,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,01/06/2012 07:40:33 AM,01/06/2012 07:44:48 AM,SOUTH,SAM,S1
228945,2013000193257,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,VICE - PROSTITUTION,--VICE - PROSTITUTION,06/05/2013 07:35:03 PM,06/05/2013 11:24:16 PM,NORTH,NORA,N2
104534,2020000322179,ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,--INTOX & LIQ VIOLS - INTOXICATED PERSON,11/17/2020 04:47:48 PM,01/01/1900 12:00:00 AM,WEST,KING,K3
2611910,2014000082067,NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),--DISTURBANCE - OTHER,03/17/2014 03:28:35 PM,03/17/2014 04:36:14 PM,WEST,MARY,M1
3543396,2019000249894,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,DOWN - CHECK FOR DOWN PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),07/08/2019 04:46:49 PM,07/08/2019 05:42:47 PM,WEST,KING,K3
1614659,2018000026933,ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),01/22/2018 06:32:22 PM,01/22/2018 06:32:22 PM,WEST,MARY,M3
2773685,2019000223936,FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,--THEFT - CAR PROWL,06/19/2019 02:27:05 PM,06/19/2019 02:27:05 PM,EAST,EDWARD,E2
528334,2011000327363,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,TRESPASS,--DISTURBANCE - OTHER,10/05/2011 05:01:48 PM,10/05/2011 06:39:16 PM,NORTH,BOY,B2
2118872,2013000055039,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,02/16/2013 10:54:55 PM,02/16/2013 10:54:55 PM,EAST,EDWARD,E1
3240842,2009000444901,ORAL WARNING GIVEN,911,3,TRESPASS,--PROWLER - TRESPASS,12/29/2009 07:59:27 AM,12/29/2009 08:20:50 AM,WEST,MARY,M2
2109485,2022000147620,ASSISTANCE RENDERED,ONVIEW,3,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),06/10/2022 01:55:39 PM,06/10/2022 01:55:39 PM,SOUTH,SAM,S2
839239,2011000128865,ORAL WARNING GIVEN,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - NOISE,04/23/2011 12:18:22 AM,04/23/2011 12:25:03 AM,EAST,EDWARD,E2
3887749,2014000246758,PHYSICAL ARREST MADE,ONVIEW,2,VICE - PROSTITUTION,--VICE - PROSTITUTION,07/27/2014 10:31:33 PM,07/27/2014 10:31:33 PM,NORTH,NORA,N2
2987155,2016000309509,RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,ASSIST OTHER AGENCY - EMERGENCY SERVICE,--ASSIST OTHER AGENCY - COUNTY AGENCY,08/26/2016 09:14:20 PM,01/01/1900 12:00:00 AM,UNKNOWN,,99
3566007,2019000186810,ASSISTANCE RENDERED,911,2,TRESPASS,--PROWLER - TRESPASS,05/24/2019 08:28:12 AM,05/24/2019 08:37:09 AM,NORTH,UNION,U2
3585179,2011000019695,REPORT WRITTEN (NO ARREST),911,3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"--BURGLARY - RESIDENTIAL, UNOCCUPIED",01/17/2011 04:30:24 PM,01/17/2011 04:47:08 PM,WEST,QUEEN,Q2
3464787,2009000333976,REPORT WRITTEN (NO ARREST),911,2,ACC - HIT AND RUN (NO INJURIES). INCLUDES IP/JO,--TRAFFIC - MV COLLISION INVESTIGATION,09/21/2009 08:19:10 AM,09/21/2009 08:23:07 AM,WEST,DAVID,D1
4646884,2019000352629,ASSISTANCE RENDERED,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--PREMISE CHECKS - CRIME PREVENTION,09/20/2019 09:23:52 PM,09/20/2019 09:23:52 PM,SOUTH,OCEAN,O1
3564347,2019000413398,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,11/06/2019 08:03:33 AM,11/06/2019 09:00:20 AM,SOUTH,SAM,S3
368783,2019000143950,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/23/2019 01:41:04 PM,04/23/2019 01:41:04 PM,WEST,MARY,M2
3721204,2011000126165,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--NARCOTICS - OTHER,04/20/2011 03:44:33 PM,04/20/2011 03:44:33 PM,WEST,KING,K3
2791439,2014000242103,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,"DOA - CASUALTY, DEAD BODY","--CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",07/24/2014 09:07:21 AM,07/24/2014 09:25:57 AM,NORTH,BOY,B1
4613148,2014000234592,ASSISTANCE RENDERED,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--ASSIST OTHER AGENCY - COUNTY AGENCY,07/18/2014 01:52:26 AM,07/18/2014 01:54:34 AM,WEST,MARY,M3
1549242,2019000289597,-,ONVIEW,2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",08/05/2019 08:35:15 PM,08/05/2019 08:35:15 PM,WEST,MARY,M3
2752459,2019000272715,PHYSICAL ARREST MADE,ONVIEW,2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--NARCOTICS - OTHER,07/24/2019 09:12:57 PM,07/24/2019 09:12:57 PM,SOUTHWEST,WILLIAM,W1
80330,2016000027397,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - ALL OTHER,01/23/2016 06:07:44 PM,01/23/2016 08:28:10 PM,NORTH,NORA,N2
4410828,2016000106785,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"--BURGLARY - RESIDENTIAL, UNOCCUPIED",03/28/2016 11:40:58 AM,03/28/2016 12:04:38 PM,SOUTH,ROBERT,R1
3159985,2011000158982,FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,"--ASSAULTS, OTHER",05/19/2011 05:53:45 AM,05/19/2011 05:53:45 AM,WEST,QUEEN,Q3
1309474,2012000236835,ASSISTANCE RENDERED,ONVIEW,9,-GAS/MAINTENANCE/WASH/GARAGE,-GAS/MAINTENANCE/WASH/GARAGE,07/22/2012 04:08:21 AM,07/22/2012 04:08:21 AM,SOUTH,SAM,S1
933966,2021000001193,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,01/02/2021 04:15:32 PM,01/02/2021 04:47:42 PM,WEST,QUEEN,Q1
2643638,2013000155383,REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--DISTURBANCE - OTHER,05/09/2013 12:43:37 AM,05/09/2013 12:53:13 AM,EAST,GEORGE,G2
2153036,2009000305091,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",08/29/2009 02:37:47 AM,08/29/2009 02:46:15 AM,NORTH,BOY,B1
4914833,2012000433896,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,MENTAL - PERSON OR PICKUP/TRANSPORT,--CRISIS COMPLAINT - GENERAL,12/20/2012 04:18:31 PM,12/20/2012 04:29:45 PM,WEST,KING,K3
4692834,2011000382071,ASSISTANCE RENDERED,ONVIEW,3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,11/26/2011 10:38:14 PM,11/26/2011 10:38:15 PM,SOUTH,OCEAN,O2
1539173,2015000386306,ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,--ASSIST OTHER AGENCY - CITY AGENCY,11/04/2015 01:09:55 PM,11/04/2015 01:16:54 PM,WEST,KING,K3
4785890,2020000208225,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,--PROPERTY DEST (DAMG),07/08/2020 05:31:41 PM,07/08/2020 05:52:26 PM,NORTH,NORA,N1
3869953,2013000451011,FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,FOLLOW UP,"--BURGLARY - RESIDENTIAL, UNOCCUPIED",12/17/2013 05:55:03 PM,12/17/2013 08:01:30 PM,SOUTHWEST,FRANK,F3
4967801,2012000342159,REPORT WRITTEN (NO ARREST),911,3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,10/06/2012 04:41:59 PM,10/06/2012 04:47:48 PM,NORTH,UNION,U1
2125337,2011000012370,ASSISTANCE RENDERED,911,2,SHOPLIFT - THEFT,--THEFT - SHOPLIFT,01/11/2011 11:23:01 AM,01/11/2011 11:31:21 AM,NORTH,LINCOLN,L3
881951,2012000007581,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,01/08/2012 01:29:00 AM,01/08/2012 02:03:47 AM,WEST,DAVID,D1
2396976,2022000028786,ASSISTANCE RENDERED,911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),02/03/2022 02:14:12 PM,02/03/2022 02:27:18 PM,SOUTH,ROBERT,R2
891493,2020000277063,ASSISTANCE RENDERED,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,--DISTURBANCE - NOISE,09/25/2020 11:46:57 PM,09/25/2020 11:55:24 PM,SOUTH,OCEAN,O3
2997170,2010000335416,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,"AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS","--DV - ARGUMENTS, DISTURBANCE (NO ARREST)",09/25/2010 03:41:56 AM,09/25/2010 03:46:36 AM,NORTH,LINCOLN,L1
1269941,2016000109915,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),03/30/2016 06:58:10 PM,01/01/1900 12:00:00 AM,WEST,DAVID,D1
145030,2018000228890,ASSISTANCE RENDERED,ONVIEW,2,TRAFFIC - BLOCKING ROADWAY,--TRAFFIC - BLOCKING TRAFFIC,06/23/2018 01:55:44 AM,06/23/2018 01:55:44 AM,SOUTH,ROBERT,R1
3803229,2017000159211,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,OVERDOSE - DRUG RELATED CASUALTY,--ASSIST OTHER AGENCY - CITY AGENCY,05/06/2017 07:55:46 PM,05/06/2017 07:59:38 PM,EAST,EDWARD,E1
2557563,2020000129646,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/18/2020 07:25:22 AM,04/18/2020 08:23:51 AM,WEST,KING,K3
2828476,2020000039580,ASSISTANCE RENDERED,ONVIEW,2,TRESPASS,--PROWLER - TRESPASS,02/01/2020 11:53:53 AM,02/01/2020 11:53:53 AM,NORTH,LINCOLN,L3
615713,2013000381238,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,10/20/2013 12:29:04 PM,10/20/2013 12:41:18 PM,NORTH,UNION,U1
1921416,2020000240693,REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),--TRAFFIC - MV COLLISION INVESTIGATION,08/15/2020 11:35:39 AM,08/15/2020 11:39:24 AM,NORTH,LINCOLN,L1
1042281,2015000175280,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--DIRECTED PATROL ACTIVITY,05/27/2015 07:09:17 PM,05/27/2015 07:09:17 PM,SOUTH,SAM,S1
3256859,2015000281545,ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/13/2015 06:33:36 PM,08/13/2015 08:20:31 PM,SOUTH,ROBERT,R3
4267677,2009000297408,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,08/23/2009 12:30:38 AM,08/23/2009 12:30:38 AM,EAST,CHARLIE,C2
2620659,2016000096339,REPORT WRITTEN (NO ARREST),ONVIEW,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,03/19/2016 12:34:07 PM,03/19/2016 12:34:07 PM,NORTH,JOHN,J2
687726,2019000238258,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - NOISE,06/30/2019 04:35:54 AM,06/30/2019 04:55:22 AM,NORTH,UNION,U2
3226726,2016000091048,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,03/15/2016 12:21:29 PM,03/15/2016 12:27:04 PM,NORTH,BOY,B1
3657837,2013000429272,RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--INTOX & LIQ VIOLS - INTOXICATED PERSON,11/28/2013 11:26:37 AM,01/01/1900 12:00:00 AM,EAST,CHARLIE,C1
3146836,2013000394255,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,WARRANT - MISD WARRANT PICKUP,--THEFT - SHOPLIFT,10/30/2013 05:11:31 PM,10/30/2013 05:18:44 PM,EAST,EDWARD,E2
980518,2015000378704,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,10/29/2015 10:37:40 AM,10/29/2015 10:37:40 AM,SOUTHWEST,WILLIAM,W1
3694795,2012000010602,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,01/11/2012 06:11:34 AM,01/11/2012 06:11:34 AM,SOUTH,ROBERT,R3
2204674,2013000228508,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - ANI/ALI - PAY PHNS (INCL OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",06/30/2013 07:39:11 AM,06/30/2013 07:53:12 AM,WEST,MARY,M1
2877490,2017000454570,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,12/10/2017 01:46:08 AM,12/10/2017 01:46:08 AM,WEST,MARY,M2
4296662,2021000086406,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",04/10/2021 08:33:54 AM,04/10/2021 09:01:56 AM,NORTH,BOY,B3
2948481,2022000141458,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),--CRISIS COMPLAINT - GENERAL,06/04/2022 08:55:51 AM,06/04/2022 09:10:20 AM,WEST,KING,K2
3268590,2015000418401,OTHER REPORT MADE,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,12/02/2015 05:18:58 AM,12/02/2015 05:24:45 AM,NORTH,UNION,U1
3533156,2018000067798,REPORT WRITTEN (NO ARREST),ONVIEW,3,"FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC","--FRAUD - FORGERY, BAD CHECKS",02/23/2018 09:33:34 PM,02/23/2018 09:33:34 PM,WEST,KING,K1
1448296,2016000427536,ASSISTANCE RENDERED,911,2,DIST - DV - NO ASLT,--DISTURBANCE - OTHER,11/27/2016 03:23:52 PM,11/27/2016 03:31:02 PM,NORTH,BOY,B2
960970,2017000052522,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,02/12/2017 12:17:28 PM,02/12/2017 12:17:28 PM,SOUTHWEST,WILLIAM,W3
1248287,2016000232559,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,06/30/2016 10:30:55 AM,06/30/2016 10:30:55 AM,WEST,MARY,M1
1669206,2019000253756,ASSISTANCE RENDERED,ONVIEW,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,-OFF DUTY EMPLOYMENT,07/11/2019 01:37:48 PM,07/11/2019 01:37:48 PM,WEST,KING,K1
3771834,2020000204301,PHYSICAL ARREST MADE,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,07/04/2020 01:14:44 PM,07/04/2020 01:14:44 PM,EAST,CHARLIE,C1
2517586,2019000307961,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,08/19/2019 06:46:37 AM,08/19/2019 06:46:37 AM,EAST,CHARLIE,C1
2988563,2017000225555,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,06/22/2017 11:06:39 PM,06/22/2017 11:06:39 PM,WEST,KING,K3
741696,2009000259009,REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"--ASSAULTS, OTHER",07/24/2009 07:55:33 PM,07/24/2009 07:58:16 PM,NORTH,BOY,B2
2600937,2019000458464,RESPONDING UNIT(S) CANCELLED BY RADIO,911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,12/11/2019 05:18:54 PM,01/01/1900 12:00:00 AM,WEST,DAVID,D1
992586,2009000364352,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,10/15/2009 09:57:52 PM,10/15/2009 09:57:52 PM,WEST,DAVID,D1
3290615,2022000131108,ASSISTANCE RENDERED,911,2,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"--SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",05/24/2022 05:17:14 PM,05/24/2022 07:43:15 PM,EAST,EDWARD,E3
1948405,2009000278017,REPORT WRITTEN (NO ARREST),911,1,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"--ASSAULTS, OTHER",08/07/2009 05:42:49 PM,08/07/2009 05:47:28 PM,WEST,QUEEN,Q3
2052860,2012000208531,ASSISTANCE RENDERED,ONVIEW,9,-GAS/MAINTENANCE/WASH/GARAGE,-GAS/MAINTENANCE/WASH/GARAGE,07/02/2012 12:09:55 AM,07/02/2012 12:09:55 AM,SOUTH,SAM,S1
4076406,2020000290891,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,10/11/2020 02:40:11 PM,10/11/2020 02:40:11 PM,SOUTHWEST,WILLIAM,W1
4527870,2019000084844,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,03/09/2019 01:27:24 AM,03/09/2019 01:27:24 AM,EAST,EDWARD,E2
2967327,2015000033160,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,01/29/2015 04:38:16 PM,01/29/2015 04:38:16 PM,WEST,KING,K3
3378069,2016000080488,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,--DV - SERVICE OF COURT ORDER,03/06/2016 11:05:45 PM,03/06/2016 11:05:45 PM,SOUTHWEST,WILLIAM,W2
150857,2018000054328,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,02/13/2018 09:46:24 AM,02/13/2018 09:46:24 AM,SOUTHWEST,FRANK,F1
911755,2020000274227,-,911,2,SERVICE - WELFARE CHECK,SERVICE - WELFARE CHECK,09/22/2020 05:50:33 PM,09/22/2020 08:32:05 PM,NORTH,NORA,N2
201143,2016000425424,OTHER REPORT MADE,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,11/25/2016 04:06:39 PM,11/25/2016 04:06:39 PM,NORTH,LINCOLN,L2
223393,2018000303678,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,08/15/2018 12:07:30 PM,08/15/2018 12:07:30 PM,EAST,EDWARD,E2
2273952,2016000162324,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",05/10/2016 03:30:09 AM,05/10/2016 04:35:45 AM,WEST,DAVID,D1
